client,auc
auc_modelo_local_4,0.7823025324730692
auc_modelo_local_8,0.7698863636363636
auc_modelo_local_19,0.8260952380952381
auc_modelo_local_2,0.9077197802197804
auc_modelo_local_3,0.7936434395848777
auc_modelo_local_7,0.8151709401709402
auc_modelo_local_9,0.9332611621510912
auc_modelo_local_15,0.5803571428571428
auc_modelo_local_20,0.869716516720421
auc_modelo_local_1,0.6025641025641025
auc_modelo_local_10,0.7643645829360387
auc_modelo_local_14,0.7300254093732355
auc_modelo_local_5,0.6699604743083004
auc_modelo_local_11,0.9101123595505618
auc_modelo_local_17,0.7435064935064934
auc_modelo_local_13,0.8571428571428572
auc_modelo_local_18,0.7438441310064547
auc_modelo_local_16,0.6444444444444444
auc_modelo_local_12,0.8098006644518272
auc_modelo_local_6,0.8634417808219178
auc_modelo_local_0,0.625
